l,sl,w,sw,air_Pre,air_Imp,build-Imp
18.545767923385625,63.347240184957634,53.567913521772525,27.479146788103705,179578.0,79338.16203450001,59052.5950495
10.686382311457223,82.79821586247657,76.39435703317992,39.30026513828727,114368.0,83363.055158,61507.80405200001
6.580007883886707,95.33446684221066,55.009848871855,39.795584866445814,53966.0,49503.790770499996,44362.4536555
5.202852840008922,29.697008263954743,58.58876493662693,31.74796270752658,297279.0,124859.8809045,89272.4900215
13.650228361158169,37.37621249063902,54.75364207845195,15.782629844291817,224220.0,67133.6727445,46905.91177559999
26.198594425021042,29.3846778368506,40.35555771882905,38.07394259817422,115251.0,81657.61897250001,72436.34322450001
21.74347979917547,89.41036520467313,64.16699191551515,14.511131978611886,83829.0,28213.524478,31791.17239
26.35576061495434,68.68101383648033,61.06673869901185,27.62285520203842,236852.0,98516.57425499998,68693.3838855
8.355053626302034,46.08867856300323,52.15793499059103,25.02405708820787,269985.0,103943.6381135,64362.150820049996
5.752449889319227,24.008126588490335,37.12693201647774,15.328823685023075,235491.0,71248.44838049999,45038.23662534999
20.571825022739173,81.97040321754156,47.311213304161974,24.300995604048897,263562.0,100407.8764175,81826.83888
27.07722901943593,62.75437723223273,23.52791227549062,10.954373947116514,54180.0,13089.458356,15486.8396465
8.163992663986459,23.033959129737568,51.19745108160692,36.48924905763593,176245.0,100344.809423,76628.710984
12.616224312972873,67.08030623211643,33.12906159008654,5.401765457108249,271581.0,57597.461007,57074.498676999996
14.963620894105928,34.80221608116705,34.63845812244735,6.581774668502154,29637.0,4481.471267500001,5978.5528915
16.978418961338377,43.18385982423683,50.3254237600643,35.076411797115334,57094.0,45641.242082,41852.190322
15.671975726328881,51.58139365136584,45.83155502305128,10.593913517680626,126097.0,27493.798002000003,29261.618481
24.599434800434125,44.29007498504028,71.3033352561621,17.67535079146506,152441.0,48581.606816,43811.26660705
23.761554506027423,34.59026830753686,44.950225356438615,12.279823281686774,36816.0,10185.188529,12590.712197
10.011742726594711,63.01025064766057,40.61869310329297,29.493072939929952,287270.0,117712.01777549999,62772.3873989
20.442339396892272,42.516993132505405,64.84908420088813,37.99594697708515,251457.0,125477.3896765,83905.50952749999
22.099306815547365,58.612184612365525,45.58542948057197,22.416893004478684,142364.0,57000.805015000005,50508.31748299999
10.98734169186978,56.043699096494734,54.31239228407498,36.55571380291245,168041.0,97989.4907735,64387.16173665
28.263441253220453,35.97410177712468,41.354507384288354,18.32780322296766,80380.0,32869.2041165,33427.901726000004
